Date,Open,High,Low,Close,Adj Close,Volume
2020-06-26,25641.689453,25641.689453,24971.029297,25015.550781,25015.550781,640860000
2020-06-29,25152.449219,25601.150391,25096.160156,25595.800781,25595.800781,378070000
2020-06-30,25512.429688,25905.380859,25475.140625,25812.880859,25812.880859,410780000
2020-07-01,25879.380859,26019.310547,25713.609375,25734.970703,25734.970703,373180000
2020-07-02,25936.449219,26204.410156,25778.119141,25827.359375,25827.359375,349130000
2020-07-06,25996.080078,26297.529297,25996.080078,26287.029297,26287.029297,340690000
2020-07-07,26172.009766,26174.929688,25866.580078,25890.179688,25890.179688,346820000
2020-07-08,25950.060547,26109.490234,25816.250000,26067.279297,26067.279297,337300000
2020-07-09,26094.919922,26103.279297,25523.509766,25706.089844,25706.089844,387610000
2020-07-10,25690.349609,26101.320313,25637.500000,26075.300781,26075.300781,338170000
2020-07-13,26225.070313,26639.089844,26044.230469,26085.800781,26085.800781,425320000
2020-07-14,26044.169922,26690.519531,25994.980469,26642.589844,26642.589844,401640000
2020-07-15,27009.810547,27071.330078,26692.480469,26870.099609,26870.099609,384900000
2020-07-16,26746.570313,26879.160156,26590.009766,26734.710938,26734.710938,287330000
2020-07-17,26774.619141,26808.429688,26619.880859,26671.949219,26671.949219,296460000
2020-07-20,26660.289063,26765.019531,26504.199219,26680.869141,26680.869141,309390000
2020-07-21,26833.140625,27025.380859,26766.220703,26840.400391,26840.400391,364930000
2020-07-22,26824.560547,27035.240234,26794.189453,27005.839844,27005.839844,404340000
2020-07-23,26955.970703,26973.849609,26560.039063,26652.330078,26652.330078,419800000
2020-07-24,26533.410156,26625.699219,26402.859375,26469.890625,26469.890625,494170000
2020-07-27,26447.669922,26625.460938,26426.919922,26584.769531,26584.769531,400930000
2020-07-28,26529.449219,26556.839844,26361.710938,26379.279297,26379.279297,361090000
2020-07-29,26388.439453,26602.449219,26375.390625,26539.570313,26539.570313,347580000
2020-07-30,26367.419922,26374.929688,25992.279297,26313.650391,26313.650391,351540000
2020-07-31,26409.330078,26440.019531,26013.589844,26428.320313,26428.320313,488050000
2020-08-03,26542.320313,26707.259766,26534.380859,26664.400391,26664.400391,439380000
2020-08-04,26664.609375,26832.720703,26597.820313,26828.470703,26828.470703,346350000
2020-08-05,26924.779297,27221.669922,26924.779297,27201.519531,27201.519531,366000000
